Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,06 Feb 2019,0.05,0.05,0.05,0.05,0
AAV.TO,06 Feb 2019,1.96,2.09,1.89,2.09,666769
ABT.TO,06 Feb 2019,8.54,8.96,8.54,8.74,386251
ABX.TO,06 Feb 2019,17.36,17.65,17.36,17.5,6011232
AC.TO,06 Feb 2019,31.28,31.62,30.62,31.32,1646036
ACB.TO,06 Feb 2019,10.03,10.22,9.64,9.98,19034760
ACB.WT.TO,06 Feb 2019,6.15,6.49,5.9,6.19,88670
ACD.TO,06 Feb 2019,9.87,9.87,9.74,9.74,200
ACI.TO,06 Feb 2019,16.77,16.98,16.68,16.94,27923
ACO.X.TO,06 Feb 2019,42.5,42.66,42.23,42.51,123514
ACO.Y.TO,06 Feb 2019,42.5,42.5,42.5,42.5,110
ACQ.TO,06 Feb 2019,10.71,10.79,10.56,10.77,133288
ACZ.UN.TO,06 Feb 2019,12.1,12.1,12.09,12.09,400
AD.TO,06 Feb 2019,19.2,19.4,19.2,19.32,77410
ADN.TO,06 Feb 2019,17.32,17.45,17.27,17.35,5881
ADVZ.TO,06 Feb 2019,25.04,25.04,24.82,24.82,809
ADVZ.U.TO,06 Feb 2019,18.98,18.98,18.97,18.97,2900
ADW.A.TO,06 Feb 2019,14.6,14.77,14.44,14.64,131766
ADW.B.TO,06 Feb 2019,14.6,14.6,14.6,14.6,0
AEF.TO,06 Feb 2019,0.91,0.91,0.91,0.91,0
AEF.WT.TO,06 Feb 2019,0.01,0.01,0.01,0.01,0
AEM.TO,06 Feb 2019,56.76,57.56,56.66,56.78,508229
AEZS.TO,06 Feb 2019,5.41,5.46,5.27,5.4,26804
AFN.TO,06 Feb 2019,53.33,54.5,53.04,53.94,37211
AFN.DB.B.TO,06 Feb 2019,100.75,100.75,100.5,100.5,75000
AFN.DB.C.TO,06 Feb 2019,104,104,104,104,15000
AFN.DB.D.TO,06 Feb 2019,101.49,101.49,101.25,101.25,26000
AFN.DB.E.TO,06 Feb 2019,100,100,100,100,88000
AGF.B.TO,06 Feb 2019,5.35,5.4,5.32,5.37,204057
AGI.TO,06 Feb 2019,5.79,6.04,5.79,5.8,1479683
AGT.TO,06 Feb 2019,17.85,17.9,17.82,17.86,70715
AHY.UN.TO,06 Feb 2019,7.59,7.59,7.59,7.59,0
AI.TO,06 Feb 2019,13.01,13.04,13,13,80133
AI.DB.TO,06 Feb 2019,100.26,100.5,100.07,100.5,57000
AI.DB.A.TO,06 Feb 2019,100,100,99.99,100,101000
AI.DB.B.TO,06 Feb 2019,100,100,100,100,0
AI.DB.C.TO,06 Feb 2019,98.7,98.7,98.7,98.7,4000
AI.DB.D.TO,06 Feb 2019,98.01,98.01,97.26,97.26,28000
AIF.TO,06 Feb 2019,24.54,24.91,23.94,24.63,72677
AII.TO,06 Feb 2019,0.6,0.6,0.59,0.59,49000
AIM.TO,06 Feb 2019,3.79,3.79,3.66,3.73,261893
AIM.PR.A.TO,06 Feb 2019,24.45,24.45,24.45,24.45,200
AIM.PR.B.TO,06 Feb 2019,24.5,24.5,24.5,24.5,300
